t,x,y,vx,vy,theta_x,theta_y,dist_x,dist_y
1.850000000000000089e+00,3.626053001006377286e-05,-1.889271463103813067e-05,-1.763976136625225563e-04,9.190791660985226860e-05,1.035510950347339192e-04,-5.395291435485101731e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000133e+00,2.839877391503142686e-05,-1.479652756225904761e-05,-1.381523089075037446e-04,7.198108092964650292e-05,8.109986592411290831e-05,-4.225521841927163660e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.950000000000000178e+00,2.224154914078920299e-05,-1.158844730320146175e-05,-1.081990854338209051e-04,5.637464327310713055e-05,6.351635648906941750e-05,-3.309373564036752690e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.741929104905785432e-05,-9.075920707739114644e-06,-8.474011174164488647e-05,4.415188496092917436e-05,4.974518146252463195e-05,-2.591858189339307387e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.050000000000000266e+00,1.364256144035924989e-05,-7.108142664861029681e-06,-6.636734969853806784e-05,3.457918015214828079e-05,3.895977693833134242e-05,-2.029909511611471858e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000089e+00,1.068467609509368243e-05,-5.567004579686141587e-06,-5.197804223120939735e-05,2.708196266387563709e-05,3.051278888157587664e-05,-1.589798640540389813e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.149999999999999911e+00,8.368098891137607149e-06,-4.360005342009663667e-06,-4.070852439872709621e-05,2.121023976051213903e-05,2.389721807418044322e-05,-1.245109549571358075e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000178e+00,6.553785854643229593e-06,-3.414699289423430459e-06,-3.188238509369646428e-05,1.661158300415864258e-05,1.871598935150427858e-05,-9.751535515124430746e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000000e+00,5.132839559845223940e-06,-2.674347924504823751e-06,-2.496986796544203700e-05,1.300997504143418606e-05,1.465811862948572683e-05,-7.637275365724915382e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000266e+00,4.019972963973891290e-06,-2.094514396471991049e-06,-1.955607475397042961e-05,1.018924268310336654e-05,1.148004723319691897e-05,-5.981414406229855074e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.350000000000000089e+00,3.148390368089782953e-06,-1.640396343660870319e-06,-1.531606255659982713e-05,7.980081908301836868e-06,8.991023187453912587e-06,-4.684565710441608596e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000355e+00,2.465778252427373921e-06,-1.284737010560011130e-06,-1.199534033240799156e-05,6.249896017195761522e-06,7.041652034821362899e-06,-3.668890734731059090e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.450000000000000178e+00,1.931165350961512965e-06,-1.006189261931687225e-06,-9.394594019147715160e-06,4.894837004766146489e-06,5.514929985889199256e-06,-2.873427347481115224e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+00,1.512463502785606836e-06,-7.880343000204084421e-07,-7.357723444200209581e-06,3.833572468618649672e-06,4.319221199679200577e-06,-2.250430802725990893e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000266e+00,1.184541679002927498e-06,-6.171781805905846571e-07,-5.762472989371639570e-06,3.002403932521074460e-06,3.382757681349789610e-06,-1.762508038460041382e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000089e+00,9.277175857212195167e-07,-4.833658973819886309e-07,-4.513093649837707303e-06,2.351443581101637665e-06,2.649331673873094670e-06,-1.380373296471321382e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.650000000000000355e+00,7.265763072018716509e-07,-3.785658633108803708e-07,-3.534596054469846938e-06,1.841619928356026317e-06,2.074921995418448766e-06,-1.081090353084071578e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,5.690450825902948562e-07,-2.964878441787628535e-07,-2.768249506351224578e-06,1.442332696296115688e-06,1.625051830820193098e-06,-8.466958572145754528e-07,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000000e+00,4.456686831246510958e-07,-2.322054106436554252e-07,-2.168056890044132264e-06,1.129616146509696222e-06,1.272719388336222245e-06,-6.631211467009988550e-07,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000266e+00,3.490418970215017261e-07,-1.818602475306870902e-07,-1.697993864962096087e-06,8.847006254051568409e-07,9.967772170259147338e-07,-5.193478289225525098e-07,0.000000000000000000e+00,0.000000000000000000e+00
2.850000000000000089e+00,2.733650590438687780e-07,-1.424305727426718137e-07,-1.329846637645451854e-06,6.928859852177955170e-07,7.806629092694867297e-07,-4.067464425594773551e-07,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000355e+00,2.140959470589178977e-07,-1.115497659728112097e-07,-1.041518533223039548e-06,5.426592620428888115e-07,6.114050035449212019e-07,-3.185585061133876902e-07,0.000000000000000000e+00,0.000000000000000000e+00
2.950000000000000178e+00,1.676771519643988830e-07,-8.736432107922716095e-08,-8.157037242788631923e-07,4.250036527847684752e-07,4.788444204549376483e-07,-2.494908650672659110e-07,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.313225573726303325e-07,-6.842259623829818142e-08,-6.388485126072510839e-07,3.328573149206128745e-07,3.750247015830871432e-07,-1.953979898746069669e-07,0.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000266e+00,1.028501132852582345e-07,-5.358768451646964593e-08,-5.003378186379081010e-07,2.606895055376599252e-07,2.937144525227398758e-07,-1.530331558902711447e-07,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000089e+00,8.055086661749049412e-08,-4.196917523906145350e-08,-3.918580505692505933e-07,2.041686189581809521e-07,2.300333264890883354e-07,-1.198535707392134726e-07,0.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000355e+00,6.308638761371945655e-08,-3.286971038477502236e-08,-3.068981117876672190e-07,1.599021981391921583e-07,1.801590995647032147e-07,-9.386775261460120795e-08,0.000000000000000000e+00,0.000000000000000000e+00
