t,x,y,vx,vy,theta_x,theta_y,dist_x,dist_y
5.500000000000000444e-01,2.147983363190063624e-02,-1.112926653485597599e-02,-1.021372516508352035e-01,5.280842969121189723e-02,5.608596063173771490e-02,-2.881078835633152022e-02,2.500000000000000139e-02,-1.499999999999999944e-02
6.000000000000000888e-01,1.692483255554178001e-02,-8.775219950810169214e-03,-8.010868485607203215e-02,4.137724894449232305e-02,4.336853913112774517e-02,-2.213418518086870956e-02,2.500000000000000139e-02,-1.499999999999999944e-02
6.500000000000000222e-01,1.335361404743438257e-02,-6.930957012967331812e-03,-6.277616535991721591e-02,3.241194652883917782e-02,3.326030960831727334e-02,-1.688199619478135405e-02,2.500000000000000139e-02,-1.499999999999999944e-02
7.000000000000000666e-01,1.055552317507855650e-02,-5.486365479961057001e-03,-4.917580399405904051e-02,2.538635164040305148e-02,2.529549414521646555e-02,-1.276094490093966985e-02,2.500000000000000139e-02,-1.499999999999999944e-02
7.500000000000000000e-01,8.363774391266742131e-03,-4.354925221954476441e-03,-3.851635483694308693e-02,1.988272472044617586e-02,1.904266805267511992e-02,-9.530992698492633808e-03,2.500000000000000139e-02,-1.499999999999999944e-02
8.000000000000000444e-01,6.647153744321591604e-03,-3.468781922410201380e-03,-3.016586811755977288e-02,1.557198808106089599e-02,1.414132414501726061e-02,-7.000628212065811151e-03,2.500000000000000139e-02,-1.499999999999999944e-02
8.500000000000000888e-01,5.302712469658666349e-03,-2.774763481536732333e-03,-2.362540900508987643e-02,1.219578340635184971e-02,1.030166531843341310e-02,-5.018695162890085201e-03,2.500000000000000139e-02,-1.499999999999999944e-02
9.000000000000000222e-01,4.249769663630392422e-03,-2.231217403467084144e-03,-1.850297511401326547e-02,9.551568569972463188e-03,7.294375600501619428e-03,-3.466435866338142199e-03,2.500000000000000139e-02,-1.499999999999999944e-02
9.500000000000000666e-01,3.425124239490686708e-03,-1.805519650719317410e-03,-1.449119982694872626e-02,7.480655998012029906e-03,4.939167698694849756e-03,-2.250727524314031537e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.000000000000000000e+00,2.779276084513658887e-03,-1.472119025189491583e-03,-1.134927214111127944e-02,5.858748042637355880e-03,3.094667075675989077e-03,-1.298606578787262801e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.050000000000000044e+00,2.273457928244059303e-03,-1.211004150066458942e-03,-8.888580617934387779e-03,4.588493361094216939e-03,1.650121033802666882e-03,-5.529222226267519564e-04,2.500000000000000139e-02,-1.499999999999999944e-02
1.100000000000000089e+00,1.877308491733379117e-03,-1.006502439272664515e-03,-6.961411830400845990e-03,3.593647693124826792e-03,5.187894384593579825e-04,3.108798384728274540e-05,2.500000000000000139e-02,-1.499999999999999944e-02
1.150000000000000133e+00,1.567049669066576494e-03,-8.463393576521534333e-04,-5.452085547484357073e-03,2.814498819915867752e-03,-3.672363228216597632e-04,4.884719783073004917e-04,2.500000000000000139e-02,-1.499999999999999944e-02
1.200000000000000178e+00,1.324059054063661143e-03,-7.209016937577380265e-04,-4.270001759658799238e-03,2.204279043821993737e-03,-1.061158583247486745e-03,8.466901436237382140e-04,2.500000000000000139e-02,-1.499999999999999944e-02
1.250000000000000000e+00,1.133751993705766009e-03,-6.226605429615474996e-04,-3.344209414139131305e-03,1.726362660285038833e-03,-1.604629028480888432e-03,1.127242347648548491e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.300000000000000044e+00,9.847059999294408960e-04,-5.457193542053630220e-04,-2.619140916200202347e-03,1.352064687686186035e-03,-2.030268120307650564e-03,1.346967378817544737e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.350000000000000089e+00,8.679751374340883034e-04,-4.854600213472863557e-04,-2.051276649766631873e-03,1.058919354133673954e-03,-2.363623401219008130e-03,1.519053275147941784e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.400000000000000133e+00,7.765530676701554256e-04,-4.382657019667078168e-04,-1.606532702895884217e-03,8.293317349356001079e-04,-2.624703196869701896e-03,1.653828776751912122e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.450000000000000178e+00,7.049525163298387027e-04,-4.013037312447494207e-04,-1.258215022119060517e-03,6.495217031145820909e-04,-2.829177707597229936e-03,1.759383235632717328e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.500000000000000000e+00,6.488759199615877406e-04,-3.723556024785565680e-04,-9.854171689647180186e-04,5.086968365398997390e-04,-2.989319624499544355e-03,1.842052136578079631e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.550000000000000044e+00,6.049574815198673159e-04,-3.496838098513786589e-04,-7.717654822531689251e-04,3.984046469715731465e-04,-3.114740773046969276e-03,1.906797355122385497e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.600000000000000089e+00,5.705611518069282758e-04,-3.319275613291871067e-04,-6.044363132957890220e-04,3.120252533587197005e-04,-3.212969026890717065e-03,1.957504971933790062e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.650000000000000133e+00,5.436224110916781753e-04,-3.180211022993013371e-04,-4.733863396921355422e-04,2.443740497025191204e-04,-3.289900133295836724e-03,1.997218517734019108e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.700000000000000178e+00,5.225243543939355438e-04,-3.071297476674227176e-04,-3.707497572501331200e-04,1.913905193827691289e-04,-3.350151575524621013e-03,2.028321648068577131e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.750000000000000000e+00,5.060006429648099139e-04,-2.985997830024356538e-04,-2.903661679338820963e-04,1.498945183586265556e-04,-3.397339713594118779e-03,2.052681212113079915e-03,2.500000000000000139e-02,-1.499999999999999944e-02
