t,x,y,vx,vy,theta_x,theta_y,dist_x,dist_y
1.450000000000000178e+00,7.049525460307132750e-04,-4.013038380961617959e-04,-1.258214441646435906e-03,6.495218486743978108e-04,-2.829178447445423929e-03,1.759383356204025691e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.500000000000000000e+00,6.488759720521145111e-04,-3.723557010455893590e-04,-9.854168532995684002e-04,5.086970222715743537e-04,-2.989320124495480936e-03,1.842052189997086045e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.550000000000000044e+00,6.049575449341973096e-04,-3.496838987236787488e-04,-7.717653445953351170e-04,3.984048489952632952e-04,-3.114741101078805779e-03,1.906797364149208623e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.600000000000000089e+00,5.705612192000513675e-04,-3.319276400844361195e-04,-6.044362915603928785e-04,3.120254560157533787e-04,-3.212969233543221202e-03,1.957504953059462614e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.650000000000000133e+00,5.436224777622801572e-04,-3.180211711493978596e-04,-4.733863901779163542e-04,2.443742432705220012e-04,-3.289900255610510305e-03,1.997218482544272158e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.700000000000000178e+00,5.225244174890700212e-04,-3.071298072063014819e-04,-3.707498496956348403e-04,1.913906982940129405e-04,-3.350151640296848959e-03,2.028321604493735480e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.750000000000000000e+00,5.060007009014628934e-04,-2.985998340315126139e-04,-2.903662817830486814e-04,1.498946798756943424e-04,-3.397339740004138783e-03,2.052681165431992534e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.800000000000000044e+00,4.930595491045079671e-04,-2.919192711594197553e-04,-2.274109487681364762e-04,1.173955424370129197e-04,-3.434296839774990742e-03,2.071759256139359996e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.850000000000000089e+00,4.829242139714415576e-04,-2.866871421725360474e-04,-1.781051782640304527e-04,9.194264460793328305e-05,-3.463241151376158719e-03,2.086700967619953707e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.900000000000000133e+00,4.749863566905676484e-04,-2.825894075845735418e-04,-1.394895632295790704e-04,7.200826940644522412e-05,-3.485909951102530643e-03,2.098403120554505601e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.950000000000000178e+00,4.687695344259484929e-04,-2.793801157830575377e-04,-1.092463349115466604e-04,5.639592879263586440e-05,-3.503663852043000567e-03,2.107568093397309186e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.000000000000000000e+00,4.639006035333330109e-04,-2.768666406904582216e-04,-8.556024745919044161e-05,4.416854895518311042e-05,-3.517568469080382607e-03,2.114745979896731805e-03,2.500000000000000139e-02,-1.499999999999999944e-02
